# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -2.199   Z = 0.0000996   Y = 0.24711700   Age (Myr) = 13000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.2555758818   0.2555758818  -1.81112  3.60910    9.5563  10.2716   8.7365   8.3706
   0.2573437895   0.2573437895  -1.80493  3.60942    9.5398  10.2539   8.7209   8.3552
   0.2591116973   0.2591116973  -1.79878  3.60973    9.5234  10.2364   8.7053   8.3399
   0.2608796050   0.2608796050  -1.79268  3.61005    9.5072  10.2190   8.6899   8.3247
   0.2626475127   0.2626475127  -1.78663  3.61036    9.4911  10.2017   8.6746   8.3096
   0.2644154205   0.2644154205  -1.78072  3.61067    9.4754  10.1848   8.6596   8.2949
   0.2661833282   0.2661833282  -1.77541  3.61096    9.4612  10.1695   8.6461   8.2817
   0.2679512360   0.2679512360  -1.77009  3.61125    9.4469  10.1542   8.6326   8.2684
   0.2697191437   0.2697191437  -1.76474  3.61154    9.4327  10.1388   8.6191   8.2551
   0.2714870515   0.2714870515  -1.75938  3.61183    9.4183  10.1234   8.6055   8.2417
   0.2732549592   0.2732549592  -1.75431  3.61212    9.4048  10.1088   8.5926   8.2291
   0.2750228670   0.2750228670  -1.74945  3.61239    9.3917  10.0947   8.5803   8.2169
   0.2767907747   0.2767907747  -1.74446  3.61267    9.3784  10.0803   8.5676   8.2045
   0.2785586825   0.2785586825  -1.73936  3.61295    9.3648  10.0656   8.5547   8.1918
   0.2803265902   0.2803265902  -1.73430  3.61322    9.3512  10.0510   8.5419   8.1792
   0.2820944980   0.2820944980  -1.72929  3.61349    9.3378  10.0365   8.5292   8.1667
   0.2838624057   0.2838624057  -1.72418  3.61377    9.3242  10.0218   8.5162   8.1540
   0.2856303135   0.2856303135  -1.71899  3.61404    9.3104  10.0069   8.5031   8.1410
   0.2873982212   0.2873982212  -1.71429  3.61431    9.2978   9.9933   8.4911   8.1293
   0.2891661290   0.2891661290  -1.70969  3.61457    9.2854   9.9800   8.4795   8.1178
   0.2909340367   0.2909340367  -1.70516  3.61483    9.2733   9.9668   8.4680   8.1065
   0.2927019444   0.2927019444  -1.70070  3.61508    9.2613   9.9539   8.4566   8.0954
   0.2944698522   0.2944698522  -1.69634  3.61533    9.2496   9.9412   8.4456   8.0846
   0.2962377599   0.2962377599  -1.69210  3.61558    9.2382   9.9288   8.4348   8.0740
   0.2980056677   0.2980056677  -1.68801  3.61582    9.2273   9.9169   8.4244   8.0638
   0.2997735754   0.2997735754  -1.68406  3.61605    9.2166   9.9054   8.4144   8.0539
   0.3015414832   0.3015414832  -1.67926  3.61632    9.2038   9.8915   8.4022   8.0420
   0.3033093909   0.3033093909  -1.67410  3.61659    9.1900   9.8766   8.3891   8.0291
   0.3050772987   0.3050772987  -1.66885  3.61687    9.1760   9.8615   8.3758   8.0160
   0.3068452064   0.3068452064  -1.66358  3.61714    9.1620   9.8464   8.3625   8.0029
   0.3086131142   0.3086131142  -1.65830  3.61742    9.1479   9.8312   8.3491   7.9898
